ELEMENT TYPE                    DESCRIPTION
Æσ      Mathy Monadic Diagraphs Standard deviation.
Æm      Mathy Monadic Diagraphs Mean.
Æṁ      Mathy Monadic Diagraphs Median.
Æg      Mathy Monadic Diagraphs Geometric mean.
Æh      Mathy Monadic Diagraphs Harmonic mean.
æ∘      Mathy Dyadic Diagraphs  Dot product padding 1.
æ×      Mathy Dyadic Diagraphs  Matrix multiplication.
æ*      Mathy Dyadic Diagraphs  Matrix power.
æṫ      Mathy Dyadic Diagraphs  Arctangent2.
æc      Mathy Dyadic Diagraphs  Convolution.
æi      Mathy Dyadic Diagraphs  To complex number.
æ«      Mathy Dyadic Diagraphs  Bit shift left.
æ»      Mathy Dyadic Diagraphs  Bit shift right.
ær      Mathy Dyadic Diagraphs  Round.
æl      Mathy Dyadic Diagraphs  Linear regression.
ŒḂ      Other Monadic Diagraphs Bounce over each.
ŒB      Other Monadic Diagraphs Bounce.
ŒP      Other Monadic Diagraphs Is palindrome.
ŒĠ      Other Monadic Diagraphs GET request.
ŒE      Other Monadic Diagraphs Multidimensional enumerate.
ŒG      Other Monadic Diagraphs Multidimensional group.
ŒM      Other Monadic Diagraphs Multidimensional maximal indicies.
ŒṪ      Other Monadic Diagraphs Multidimensional truthy.
Œ1      Other Monadic Diagraphs Make a booleans matrix with ones at specified locations.
Œp      Other Monadic Diagraphs Unordered pairs.
Œe      Other Monadic Diagraphs Run length encode.
Œd      Other Monadic Diagraphs Run length decode.
Œ$      Other Monadic Diagraphs Swap case.
ŒU      Other Monadic Diagraphs Upper case.
ŒL      Other Monadic Diagraphs Lower case.
ŒD      Other Monadic Diagraphs Depth.
ŒṖ      Other Monadic Diagraphs Apl style print.
Œb      Other Monadic Diagraphs Print a boolean matrix as braille.
ŒJ      Other Monadic Diagraphs Json decode.
ŒF      Other Monadic Diagraphs Read a file.
œ∩      Other Dyadic Diagraphs  Multiset intersection.
œ-      Other Dyadic Diagraphs  Multiset difference.
œ∪      Other Dyadic Diagraphs  Multiset union.
œi      Other Dyadic Diagraphs  Mutlidimensional index into.
œs      Other Dyadic Diagraphs  Multidimensional sublist index of.
œŀ      Other Dyadic Diagraphs  Trim from right.
œl      Other Dyadic Diagraphs  Trim from left.
œt      Other Dyadic Diagraphs  Split before truthy indices.
œo      Other Dyadic Diagraphs  Split at first occurence.
œm      Other Dyadic Diagraphs  Map; inputs → outputs; w consists of [inputs,outputs], x is to be converted.
œr      Other Dyadic Diagraphs  Ring translate.
œF      Other Dyadic Diagraphs  Write to file.
Δ/      Quick Diagraphs         Foldl1.
Δ⌿      Quick Diagraphs         Foldl.
Δ\      Quick Diagraphs         Scanl1.
Δ⍀      Quick Diagraphs         Scanl.
Δω      Quick Diagraphs         Cumulative while.
Δ⍤      Quick Diagraphs         Cumulative repeat.
Δe      Quick Diagraphs         Apply at even indicies.
Δo      Quick Diagraphs         Apply at odd indicies.
